rT ~ Rm * exp(-1/2 * ((T - Tm)/To)^2),,,,,,,,,
,,,,,,,,,
REF,ORDER,FAMILY,GENUS,SPECIES,STAGE,Rm,Tm,To,contributor,DOI,journal,year,TminExpe,TmaxExpe,numT,numIndEgg,lightDark,rh,country,coorX,coorY,comments
Taylor 1981,Lepidoptera,Noctuidae,Spodoptera,frugiperda,all,0.056,37.4,11.3,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Lepidoptera,Noctuidae,Triphaena,pronuba,all,0.018,28.8,10.2,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Lepidoptera,Pyralidae,Anagasta,kuehniella,all,0.026,29.8,9,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Lepidoptera,Pyralidae,Ostrinia,nubilalis,all,0.043,32.5,9.7,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Lepidoptera,Tortricidae,Epiphyas,postvittana,all,0.032,27.2,9,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Diptera,Chloropidae,Hippelates,bishoppi,all,0.075,35,9.8,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Diptera,Chloropidae,Hippelates,pallipes,all,0.084,32.1,7.3,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Diptera,Chloropidae,Hippelates,pusio,all,0.079,32.5,7.5,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Diptera,Culicidae,Aedes,flavescens,all,0.051,22.2,6.5,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Diptera,Culicidae,Aedes,vexans,all,0.142,26.3,7.7,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Diptera,Culicidae,Anopheles,quadrimaculatus,all,0.114,32.8,9.7,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Diptera,Culicidae,Toxorhynchites,brevipalpis,all,0.062,28.4,6.1,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Diptera,Drosophilidae,Drosophila,melanogaster,all,0.131,30.2,8.6,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Diptera,Drosophilidae,Drosophila,melanogaster,all,0.122,29.2,8.4,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Diptera,Muscidae,Haematobia,stimulans,all,0.081,29.5,8.8,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Diptera,Muscidae,Lyperosia,irritans,all,0.121,34.1,10.1,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Diptera,Muscidae,Musca,domestica,all,0.125,33.6,9.7,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
