rT ~ (p25 * (T + 273.16)/298 * exp(aa/1.987 * (1/298 - 1/(T + 273.16)))) / (1 + exp(bb/1.987 * (1/cc - 1/(T + 273.16))) + exp(dd/1.987 * (1/ee - 1/(T + 273.16)))),,,,,,,,,,,,
,,,,,,,,,,,,
REF,ORDER,FAMILY,GENUS,SPECIES,STAGE,p25,aa,bb,cc,dd,ee,contributor
Hilbert and Logan 1983,Orthoptera,Acrididae,Melanoplus,sanguinipes,all,0.0455,8814.36,-14877.95,298.81,47258.52,316.695,François Rebaudo
